reference,transfer_to_source,status,payment_method_code,updated_at
nguh-dm2o,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:41:19
rltu-xur5,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:41:22
j7re-sanc,False,canceled,yemekpay_creditcard,2024-05-04 21:41:25
j7re-w3kk,False,canceled,yemekpay_creditcard,2024-05-04 21:41:36
a7sd-dn6x,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:41:49
c84a-u6ea,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:41:52
ocew-dusn,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:41:53
wphd-5pot,True,canceled,yemekpay_creditcard,2024-05-04 21:41:54
ea1e-8vh5,False,canceled,yemekpay_creditcard,2024-05-04 21:42:02
x6qg-1ia4,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:42:17
bwl0-qeuh,True,canceled,yemekpay_creditcard,2024-05-04 21:42:20
r0cd-9y1x,True,canceled,yemekpay_creditcard,2024-05-04 21:42:29
jmv6-jk5b,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:42:43
o1pi-6f0f,True,canceled,yemekpay_creditcard,2024-05-04 21:42:53
i3or-471r,False,canceled,yemekpay_creditcard,2024-05-04 21:43:12
ryov-imdc,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:43:14
ibiv-mjzp,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:43:19
tez9-5iv6,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:43:28
q6zd-sark,True,canceled,yemekpay_creditcard,2024-05-04 21:43:34
rb43-6m2t,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:43:51
ldqw-3a0p,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:44:00
e030-yq69,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:44:00
pevf-tomx,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:44:01
kwsg-jb3m,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:44:12
k9d7-iily,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:44:14
rcs0-1fdo,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:44:18
tq42-u9z8,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:44:21
qbu4-27rp,False,canceled,yemekpay_creditcard,2024-05-04 21:44:22
jp9q-y29q,False,canceled_to_wallet,balance,2024-05-04 21:44:26
blue-8ov8,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:44:28
arej-dkqk,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:44:31
vv1x-hv4n,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:44:35
h9zs-fpez,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 21:44:57
lfxu-n3c5,False,partially_refunded_to_source,craftgate_edenred,2024-05-04 21:44:57
opuu-i2rc,False,partially_refunded_to_wallet,yemekpay_creditcard,2024-05-04 21:44:57
g6ae-bb0e,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:45:11
enhh-de6p,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:45:12
q5fg-okx7,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:45:12
jfca-3vqw,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:45:12
yuzc-o7hr,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:45:12
ptdh-mgrx,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:45:12
kxmn-hu75,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:45:12
q5fg-klru,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:45:13
jjjk-j7vr,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:45:13
jjjk-gmja,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:45:13
jjjk-bnoi,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:45:13
jyrs-c750,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:45:14
wzhv-peqe,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:45:31
epie-94u1,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:45:33
hs4r-ikqm,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:45:35
nf84-mt0k,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:45:42
tf45-c267,True,canceled,yemekpay_creditcard,2024-05-04 21:45:55
n1mi-t6cd,True,canceled,yemekpay_creditcard,2024-05-04 21:45:56
